종목명,종목코드,전일가
CJ제일제당,097950,387500
CJ제일제당 우,097955,177500
TIGER 방송통신,098560,9630
KODEX 차이나H,099140,17350
비상교육,100220,7800
진양홀딩스,100250,3665
SNT에너지,100840,18550
KOSEF KRX100,100910,6305
SBS미디어홀딩스,101060,1930
인바이오젠,101140,3560
KODEX 일본TOPIX100,101280,17025
해태제과식품,101530,7970
TIGER 200,102110,39925
동성케미컬,102260,4795
쌍방울,102280,810
이연제약,102460,35550
KODEX 삼성그룹,102780,9950
KODEX 기계장비,102960,5610
KODEX 증권,102970,8180
풍산,103140,31150
일진전기,103590,5110
KOSEF 블루칩,104520,9870
KOSEF 고배당,104530,9800
한국철강,104700,7740
TIGER 라틴35,105010,3165
KINDEX 200,105190,40310
KB금융,105560,55000
한세실업,105630,21950
KBSTAR 5대그룹주,105780,7850
우진,105840,8240
미원홀딩스,107590,151500
KINDEX 삼성그룹섹터,108450,16545
TREX 200,108590,40915
LX하우시스,108670,61500
LX하우시스우,108675,28450
컨버즈,109070,4100
호전실업,111110,10150
영원무역,111770,43650
씨에스윈드,112610,65700
GKL,114090,13150
KBSTAR 국고채3년,114100,111910
KODEX 국고채3년,114260,57815
KINDEX 국고채3년,114460,105675
KOSEF 국고채3년,114470,111300
KODEX 인버스,114800,4005
TIGER 국채3년,114820,109620
락앤락,115390,11600
KODEX 에너지화학,117460,18555
대성에너지,117580,9150
KODEX 철강,117680,8470
TIGER 차이나항셍25,117690,14640
KODEX 건설,117700,3400
우리들휴브레인,118000,1505
KC코트렐,119650,6170
조선선재,120030,109500
코오롱인더,120110,70900
코오롱인더우,120115,34350
ARIRANG 코스피50,122090,28030
KOSEF 통안채1년,122260,101105
KODEX 레버리지,122630,23870
아이마켓코리아,122900,10700
TIGER 인버스,123310,4440
TIGER 레버리지,123320,22775
한국화장품,123690,8710
SJM,123700,4900
한국자산신탁,123890,4085
현대퓨처넷,126560,4215
대성산업,128820,4560
한미약품,128940,276000
인터지스,129260,3485
한전산업,130660,12200
TIGER 원유선물Enhanc,130680,3595
KOSEF 단기자금,130730,100905
KINDEX 삼성그룹동일,131890,17325
KODEX 골드선물(H),132030,12135
TIGER 미국나스닥100,133690,87800
화인베스틸,133820,3045
미원화학,134380,81200
시디즈,134790,61300
KBSTAR 중기우량회사,136340,104685
선진,136490,11500
에스디바이오센서,137310,55900
TIGER 농산물선물Enha,137610,6830
마이다스 200커버드콜,137930,14775
메리츠금융지주,138040,44000
KOSEF 미국달러선물,138230,12475
엔에스쇼핑,138250,12700
코오롱플라스틱,138490,13000
TIGER 삼성그룹펀더멘,138520,11920
TIGER LG그룹+펀더멘,138530,10650
TIGER 현대차그룹+펀,138540,24545
KODEX 구리선물(H),138910,8070
KODEX 콩선물(H),138920,11735
BNK금융지주,138930,8400
DGB금융지주,139130,9380
TIGER 200 건설,139220,2990
TIGER 200 중공업,139230,3140
TIGER 200 철강소재,139240,8780
TIGER 200 에너지화학,139250,18665
TIGER 200 IT,139260,37910
TIGER 200 금융,139270,7045
TIGER 경기방어,139280,10745
TIGER 200 경기소비재,139290,17545
TIGER 금속선물(H),139310,7240
TIGER 금은선물(H),139320,9455
이마트,139480,151000
KOSEF 미국달러선물인,139660,10030
아주스틸,139990,18500
KBSTAR 수출주,140570,12590
KBSTAR 우량업종,140580,11980
KODEX 보험,140700,6590
KODEX 운송,140710,5770
에이리츠,140910,8840
파워 코스피100,140950,30755
핸즈코퍼레이션,143210,4995
KINDEX 밸류대형,143460,9840
TIGER 미국S&P500선물,143850,56090
TIGER 헬스케어,143860,36765
KODEX 은선물(H),144600,4635
다이나믹디자인,145210,499
케이탑리츠,145270,1410
KINDEX 인버스,145670,4895
덴티움,145720,69800
TREX 펀더멘탈 200,145850,40805
삼양사,145990,62700
삼양사우,145995,40800
TIGER 모멘텀,147970,24845
KBSTAR 200,148020,40110
KOSEF 국고채10년,148070,119505
TIGER 중국소비테마,150460,7875
ARIRANG 200,152100,40665
KODEX 국채선물10년,152380,68840
KINDEX 레버리지,152500,9495
한국ANKOR유전,152550,1600
파워 200,152870,40910
KODEX 단기채권,153130,103110
KOSEF 코스피100,153270,30195
하이골드3호,153360,2660
DSR,155660,5730
바다로19호,155900,2965
KODEX MSCI Korea,156080,18715
TIGER 단기통안채,157450,100510
TIGER 소프트웨어,157490,16935
TIGER 증권,157500,4875
마이티 코스피100,159800,30305
TIGER 구리실물,160580,10420
애경케미칼,161000,10850
한국타이어앤테크놀로,161390,39700
ARIRANG 고배당주,161510,12505
한국콜마,161890,40250
동일고무벨트,163560,7530
TIGER 200커버드콜5%O,166400,14970
KOSEF 국고채10년레버,167860,126590
KTOP 코스피50,168300,28365
한국패러랠,168490,2135
KINDEX 중국본토CSI30,168580,32650
KODEX 차이나A50,169950,22750
동아에스티,170900,71600
TIGER 로우볼,174350,12220
KBSTAR 중국본토대형,174360,21740
JB금융지주,175330,8350
파워 중기국고채,176710,99430
KODEX 국채선물10년인,176950,47635
PI첨단소재,178920,55100
한진칼,180640,61400
한진칼우,18064K,34500
KINDEX 미국다우존스,181480,105250
NHN,181710,45000
TIGER 미국MSCI리츠(,182480,16610
TIGER 단기선진하이일,182490,12615
